Epoch,Loss,HR,NDCG
0,0.344,0.528,0.293
1,0.303,0.58,0.328
2,0.284,0.612,0.353
3,0.274,0.625,0.36
4,0.267,0.642,0.373
5,0.262,0.652,0.38
6,0.258,0.65,0.38
7,0.255,0.655,0.386
8,0.252,0.657,0.386
9,0.25,0.658,0.389
10,0.248,0.659,0.391
11,0.246,0.664,0.392
12,0.245,0.671,0.393
13,0.243,0.664,0.391
14,0.242,0.663,0.39
15,0.241,0.67,0.395
16,0.241,0.673,0.395
17,0.24,0.664,0.391
18,0.239,0.669,0.396
19,0.238,0.666,0.394
20,0.237,0.668,0.395
21,0.237,0.67,0.395
22,0.236,0.671,0.397
23,0.235,0.673,0.4
24,0.235,0.671,0.396
25,0.235,0.669,0.398
26,0.234,0.672,0.398
27,0.234,0.665,0.397
28,0.233,0.669,0.399
29,0.233,0.67,0.398
30,0.232,0.666,0.393
31,0.232,0.663,0.395
32,0.232,0.664,0.395
33,0.231,0.672,0.399
34,0.231,0.671,0.399
35,0.231,0.665,0.395
36,0.231,0.662,0.393
37,0.23,0.666,0.394
38,0.23,0.667,0.396
39,0.23,0.665,0.395
40,0.229,0.668,0.396
41,0.23,0.671,0.397
42,0.229,0.666,0.394
43,0.229,0.666,0.396
44,0.229,0.668,0.396
45,0.229,0.665,0.395
46,0.228,0.671,0.401
47,0.228,0.67,0.397
48,0.228,0.664,0.399
49,0.228,0.667,0.396
