Epoch,Loss,HR,NDCG
0,0.317,0.601,0.343
1,0.274,0.64,0.366
2,0.264,0.652,0.377
3,0.259,0.656,0.382
4,0.256,0.663,0.385
5,0.253,0.669,0.389
6,0.25,0.673,0.395
7,0.248,0.674,0.399
8,0.245,0.678,0.401
9,0.243,0.676,0.402
10,0.241,0.675,0.402
11,0.24,0.678,0.404
12,0.239,0.679,0.407
13,0.237,0.684,0.408
14,0.236,0.68,0.405
15,0.235,0.68,0.403
16,0.234,0.675,0.402
17,0.233,0.674,0.4
18,0.232,0.683,0.407
19,0.231,0.68,0.404
20,0.23,0.676,0.404
21,0.23,0.678,0.403
22,0.229,0.677,0.405
23,0.228,0.679,0.406
24,0.228,0.677,0.403
25,0.227,0.682,0.407
26,0.227,0.674,0.399
27,0.226,0.68,0.403
28,0.226,0.677,0.401
29,0.225,0.674,0.405
30,0.225,0.68,0.401
31,0.224,0.676,0.401
32,0.224,0.675,0.4
33,0.224,0.678,0.403
34,0.224,0.675,0.399
35,0.223,0.679,0.403
36,0.223,0.681,0.403
37,0.223,0.675,0.403
38,0.222,0.681,0.404
39,0.222,0.679,0.403
40,0.222,0.678,0.403
41,0.222,0.683,0.406
42,0.221,0.677,0.401
43,0.221,0.677,0.402
44,0.221,0.68,0.404
45,0.221,0.677,0.403
46,0.22,0.676,0.4
47,0.221,0.683,0.404
48,0.22,0.675,0.402
49,0.22,0.67,0.399
