Model,Negatives,Best_Epoch,HR,NDCG
GMF,1,17,0.628,0.358
GMF,2,18,0.635,0.362
GMF,3,17,0.634,0.365
GMF,4,13,0.638,0.369
GMF,5,18,0.641,0.371
GMF,6,16,0.638,0.368
GMF,7,11,0.634,0.369
GMF,8,15,0.635,0.369
GMF,9,19,0.635,0.369
GMF,10,16,0.632,0.37
MLP,1,18,0.659,0.379
MLP,2,15,0.665,0.391
MLP,3,16,0.671,0.393
MLP,4,16,0.678,0.397
MLP,5,19,0.674,0.402
MLP,6,10,0.669,0.394
MLP,7,16,0.668,0.392
MLP,8,15,0.675,0.397
MLP,9,17,0.666,0.393
MLP,10,16,0.653,0.384
NeuMF-end,1,14,0.664,0.386
NeuMF-end,2,11,0.676,0.395
NeuMF-end,3,16,0.687,0.409
NeuMF-end,4,13,0.68,0.405
NeuMF-end,5,15,0.683,0.409
NeuMF-end,6,17,0.688,0.407
NeuMF-end,7,15,0.681,0.409
NeuMF-end,8,16,0.677,0.408
NeuMF-end,9,18,0.684,0.409
NeuMF-end,10,17,0.682,0.407
